,CellNumber,Lobes,Necks,Junctions,JunctionLobes,Complexity,Circularity,Area,Perimeter
1,1.0,7.0,7.0,6.0,3.0,0.6225608126169473,17.81320475661644,539638.0,215366.0
2,2.0,2.0,2.0,3.0,1.0,0.9019607843137255,12.849806797184716,18361.0,107313.0
3,3.0,7.0,7.0,6.0,4.0,0.6126946811636791,0.037792625284007966,1054.0,308461.0
4,4.0,4.0,4.0,6.0,0.0,0.5749799518845229,0.5606575451376055,17095.0,206078.0
5,5.0,4.0,4.0,5.0,4.0,0.8360071301247772,3.3162844927429718,16231.0,222312.0
6,6.0,5.0,5.0,6.0,2.0,0.5422708618331054,0.12865180266102005,3797.0,400321.0
7,7.0,7.0,7.0,9.0,6.0,0.5367192862045299,0.45468618965667795,16194.0,536842.0
8,8.0,3.0,3.0,3.0,2.0,0.9281045751633987,15.162904313012728,21344.0,113035.0
9,9.0,5.0,5.0,6.0,3.0,0.7174863387978142,0.07298737206199396,1094.0,511964.0
10,10.0,3.0,3.0,5.0,3.0,0.819047619047619,5.366287357975766,10526.0,134731.0
11,11.0,3.0,3.0,6.0,0.0,0.6370221327967807,0.06797791779421153,1396.0,478247.0
12,12.0,5.0,5.0,7.0,3.0,0.6873706004140787,0.6709213612815378,13401.0,561429.0
13,13.0,5.0,5.0,6.0,5.0,0.8013468013468014,1.2375500215216144,15133.0,158492.0
14,14.0,3.0,3.0,4.0,1.0,0.946236559139785,2.5102954276150973,10113.0,71127.0
15,15.0,2.0,2.0,6.0,1.0,0.6819209039548022,0.2714040024806552,4012.0,548744.0
16,16.0,4.0,4.0,5.0,3.0,0.743734335839599,0.7364634677611288,9948.0,425725.0
17,17.0,3.0,3.0,6.0,1.0,0.7399749373433584,0.7605236433765657,10273.0,573632.0
18,18.0,3.0,3.0,4.0,3.0,0.8994708994708994,3.565829139232198,11925.0,247112.0
19,19.0,7.0,7.0,7.0,5.0,0.6768388106416275,0.14225662254681054,2956.0,285538.0
20,20.0,9.0,9.0,10.0,4.0,0.5429029671210907,0.4933535717721629,15189.0,443811.0
21,21.0,4.0,4.0,7.0,2.0,0.6815850815850816,0.9708049260437721,17211.0,725516.0
22,22.0,5.0,5.0,4.0,3.0,0.9789473684210527,7.740422420222588,13675.0,181616.0
23,23.0,4.0,4.0,6.0,2.0,0.7417417417417418,0.33868597271075085,1994.0,228922.0
24,24.0,4.0,4.0,5.0,3.0,0.9526315789473684,2.4486814016752687,4443.0,117954.0
25,25.0,8.0,8.0,8.0,5.0,0.6816901408450704,0.08972987310557025,1821.0,489432.0
26,26.0,2.0,2.0,3.0,2.0,1.0,25.911943171311137,14898.0,64076.0
27,27.0,6.0,6.0,6.0,5.0,0.662861491628615,0.02434775496343118,532.0,730707.0
28,28.0,9.0,9.0,8.0,6.0,0.7891865079365079,1.022535406073344,17293.0,577686.0
29,29.0,4.0,4.0,5.0,2.0,0.967391304347826,6.381430550427205,16271.0,143303.0
30,30.0,6.0,6.0,8.0,3.0,0.6967418546365914,0.18153641060411774,2393.0,244583.0
31,31.0,3.0,3.0,3.0,3.0,0.9818840579710145,3.6958316538342144,9529.0,160754.0
32,32.0,5.0,5.0,7.0,3.0,0.6737089201877934,0.12319225079558455,2590.0,572163.0
33,33.0,4.0,4.0,6.0,2.0,0.5917721518987342,0.5876163483647694,15353.0,860082.0
34,34.0,2.0,2.0,5.0,1.0,0.8366013071895425,10.778810333205055,16335.0,72553.0
35,35.0,6.0,6.0,9.0,5.0,0.5694205393000574,0.036210260181271714,1027.0,521058.0
36,36.0,6.0,6.0,5.0,1.0,0.8571428571428571,5.1577577071748415,17587.0,108273.0
37,37.0,3.0,3.0,3.0,3.0,0.9852941176470589,2.4221556640714272,3158.0,70382.0
38,38.0,7.0,7.0,6.0,4.0,0.644384221619994,0.05033092002256119,1366.0,959793.0
39,39.0,5.0,5.0,5.0,3.0,0.8172757475083057,2.6306993538067696,20248.0,218374.0
40,40.0,6.0,6.0,5.0,4.0,0.8647959183673469,0.7164405093729663,7024.0,619136.0
41,41.0,7.0,7.0,6.0,2.0,0.6319207108680793,0.3495889875490449,8446.0,563956.0
42,42.0,6.0,6.0,5.0,4.0,0.8758434547908233,2.773256943490337,17302.0,221115.0
43,43.0,4.0,4.0,5.0,1.0,0.9402298850574713,1.5548120968565853,6043.0,274183.0
44,44.0,5.0,5.0,5.0,3.0,0.7852987837123215,0.25047072245865754,3947.0,515119.0
45,45.0,5.0,5.0,6.0,3.0,0.7197420634920635,0.8238365629816116,13812.0,646233.0
46,46.0,6.0,6.0,4.0,1.0,0.8691322901849218,2.285132205987257,14155.0,367878.0
47,47.0,6.0,6.0,5.0,3.0,0.6491228070175439,0.2736183583603332,6420.0,991549.0
48,48.0,5.0,5.0,5.0,5.0,0.9471264367816092,4.489580293927241,17135.0,162818.0
49,49.0,6.0,6.0,9.0,1.0,0.6876456876456877,0.22377260224471096,3984.0,618623.0
50,50.0,6.0,6.0,8.0,6.0,0.7666666666666667,0.9975770890143849,14542.0,661608.0
51,51.0,7.0,7.0,7.0,3.0,0.6976356976356977,0.5155229806017515,12682.0,948109.0
52,52.0,6.0,6.0,6.0,3.0,0.6895104895104895,1.1727854078118094,20616.0,489445.0
53,53.0,6.0,6.0,8.0,2.0,0.6410256410256411,0.766497409044253,13474.0,420418.0
54,54.0,7.0,7.0,9.0,5.0,0.5638583638583639,0.36881289634355024,12210.0,480967.0
55,55.0,11.0,11.0,8.0,6.0,0.7004813032210292,0.8437503321681329,18577.0,633270.0
